zip3,study_year_idx,totalAvgAbove2,totalMaxAbove2,totalMinAbove2,AVG_imputed,MAX_imputed,MIN_imputed
500,3,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0
501,3,1,2,0.5,1,2,0.5
502,3,0,0,0,0,0,0
503,3,0,0,0,0,0,0
504,3,0,0,0,0,0,0
505,3,NA,NA,NA,2.0416666666666665,2.5416666666666665,1.4375
506,3,1.0833333333333333,1.75,0.75,1.0833333333333333,1.75,0.75
507,3,NA,NA,NA,1.0833333333333333,1.75,0.75
508,3,NA,NA,NA,0.26666666666666666,0.4666666666666667,0.1
510,3,15,18,11,15,18,11
511,3,0,0,0,0,0,0
512,3,NA,NA,NA,7.5,9,5.5
513,3,0,0,0,0,0,0
514,3,NA,NA,NA,3.2666666666666666,4.066666666666666,2.3
515,3,0,0,0,0,0,0
516,3,NA,NA,NA,0,0,0
520,3,1.875,3.625,1.125,1.875,3.625,1.125
521,3,0,0,0,0,0,0
522,3,48.8,51.2,46.6,48.8,51.2,46.6
523,3,107,107,107,107,107,107
524,3,6,7,4,6,7,4
525,3,0,0.6666666666666666,0,0,0.6666666666666666,0
526,3,37,40,32,37,40,32
527,3,NA,NA,NA,38.935,40.364999999999995,37.345
528,3,NA,NA,NA,0,0,0
560,3,NA,NA,NA,0,0,0
500,4,3.333333333333333,6.333333333333333,2,3.333333333333333,6.333333333333333,2
501,4,4,10.25,2.25,4,10.25,2.25
502,4,3.5,5,3,3.5,5,3
503,4,10,10.5,8.5,10,10.5,8.5
504,4,0,0,0,0,0,0
505,4,10.600000000000001,10.600000000000001,10.600000000000001,10.600000000000001,10.600000000000001,10.600000000000001
506,4,3.75,4.833333333333333,2.25,3.75,4.833333333333333,2.25
507,4,NA,NA,NA,3.75,4.833333333333333,2.25
508,4,NA,NA,NA,2.1666666666666665,4.316666666666666,1.45
510,4,21,25,17,21,25,17
511,4,0,0,0,0,0,0
512,4,NA,NA,NA,10.5,12.5,8.5
513,4,0,0,0,0,0,0
514,4,0,0,0,0,0,0
515,4,0,0,0,0,0,0
516,4,NA,NA,NA,0,0,0
520,4,4.5,9.625,1.875,4.5,9.625,1.875
521,4,0.75,1.25,0.25,0.75,1.25,0.25
522,4,80,83.2,76.4,80,83.2,76.4
523,4,179,180,179,179,180,179
524,4,6,9,6,6,9,6
525,4,7.666666666666667,9,7,7.666666666666667,9,7
526,4,65,69,60,65,69,60
527,4,0,0,0,0,0,0
528,4,NA,NA,NA,0,0,0
560,4,NA,NA,NA,5.300000000000001,5.300000000000001,5.300000000000001
500,5,1.6666666666666667,3,1.6666666666666667,1.6666666666666667,3,1.6666666666666667
501,5,1,2.5,0.5,1,2.5,0.5
502,5,3,3,2,3,3,2
503,5,0,0,0,0,0,0
504,5,0,0,0,0,0,0
505,5,52.8,53,52,52.8,53,52
506,5,1.9166666666666667,2.75,1.4166666666666667,1.9166666666666667,2.75,1.4166666666666667
507,5,NA,NA,NA,1.9166666666666667,2.75,1.4166666666666667
508,5,NA,NA,NA,1.1333333333333333,1.7,0.8333333333333334
510,5,26,29,23,26,29,23
511,5,0,0,0,0,0,0
512,5,NA,NA,NA,19.25,20.75,17.25
513,5,12.5,12.5,11.5,12.5,12.5,11.5
514,5,13,14,12,13,14,12
515,5,0,0,0,0,0,0
516,5,NA,NA,NA,0,0,0
520,5,0.875,2.5,0.375,0.875,2.5,0.375
521,5,0,0,0,0,0,0
522,5,75.6,78.8,73.2,75.6,78.8,73.2
523,5,176.5,176.5,176.5,176.5,176.5,176.5
524,5,7,8,5,7,8,5
525,5,0,1.6666666666666665,0,0,1.6666666666666665,0
526,5,44,50,36,44,50,36
527,5,0,0,0,0,0,0
528,5,NA,NA,NA,0,0,0
560,5,NA,NA,NA,26.4,26.5,26
500,6,1.6666666666666665,4.666666666666667,0.6666666666666666,1.6666666666666665,4.666666666666667,0.6666666666666666
501,6,1.5,5,1,1.5,5,1
502,6,0.5,0.5,0,0.5,0.5,0
503,6,6.5,7,5,6.5,7,5
504,6,0,0,0,0,0,0
505,6,53.6,54.2,53,53.6,54.2,53
506,6,2.1666666666666665,3.083333333333333,1,2.1666666666666665,3.083333333333333,1
507,6,NA,NA,NA,2.1666666666666665,3.083333333333333,1
508,6,NA,NA,NA,0.7333333333333333,2.0333333333333337,0.3333333333333333
510,6,65,76,56,65,76,56
511,6,0,0,0,0,0,0
512,6,NA,NA,NA,49.25,56.25,44.5
513,6,33.5,36.5,33,33.5,36.5,33
514,6,27,30,21,27,30,21
515,6,NA,NA,NA,18.733333333333334,22.133333333333333,15.533333333333335
516,6,NA,NA,NA,0,0,0
520,6,2,3.5,0.75,2,3.5,0.75
521,6,0,0.3333333333333333,0,0,0.3333333333333333,0
522,6,79.8,84.2,76.8,79.8,84.2,76.8
523,6,182,182,182,182,182,182
524,6,0,0,0,0,0,0
525,6,10.666666666666666,13.333333333333334,8.333333333333334,10.666666666666666,13.333333333333334,8.333333333333334
526,6,55,66,52,55,66,52
527,6,0,0,0,0,0,0
528,6,NA,NA,NA,0,0,0
560,6,NA,NA,NA,26.8,27.1,26.5
500,7,0,0.3333333333333333,0,0,0.3333333333333333,0
501,7,0.5,1.5,0,0.5,1.5,0
502,7,0,0,0,0,0,0
503,7,0,0,0,0,0,0
504,7,0,0,0,0,0,0
505,7,60.86666666666667,60.86666666666667,60.86666666666667,60.86666666666667,60.86666666666667,60.86666666666667
506,7,0,0,0,0,0,0
507,7,NA,NA,NA,0,0,0
508,7,NA,NA,NA,0.1,0.36666666666666664,0
510,7,45,50,39,45,50,39
511,7,0,0,0,0,0,0
512,7,NA,NA,NA,32.75,36.5,28.75
513,7,20.5,23,18.5,20.5,23,18.5
514,7,3,7,3,3,7,3
515,7,NA,NA,NA,9.6,11.466666666666667,8.4
516,7,NA,NA,NA,0,0,0
520,7,0.25,0.625,0.125,0.25,0.625,0.125
521,7,0,0,0,0,0,0
522,7,74.8,76,73.8,74.8,76,73.8
523,7,143.5,143.5,143.5,143.5,143.5,143.5
524,7,0,0,0,0,0,0
525,7,0.6666666666666666,2,0.3333333333333333,0.6666666666666666,2,0.3333333333333333
526,7,1,5,1,1,5,1
527,7,0,0,0,0,0,0
528,7,NA,NA,NA,0,0,0
