study_year_idx,zip3,total_flu_diag,total_ILI,total_vacc,total_AsmAtck,total_Asma,total_labpos,total_labtest,flu_diag_lab,ILI_diag_lab
1,500,184,25021,14094,243,3628,15,38,199,25036
1,501,171,18334,6484,132,1647,2,5,173,18336
1,502,220,22223,10176,249,3064,10,24,230,22233
1,503,434,41921,18735,933,6113,32,80,466,41953
1,504,68,11037,6059,170,1580,7,8,75,11044
1,505,189,19812,6430,377,2440,8,10,197,19820
1,506,113,13640,6800,221,1317,7,29,120,13647
1,507,45,8637,4386,197,1793,3,19,48,8640
1,508,56,4157,840,160,400,0,0,56,4157
1,510,181,10339,2873,87,741,0,0,181,10339
1,511,148,6990,3195,147,1162,12,21,160,7002
1,512,161,8596,2156,50,365,5,7,166,8601
1,513,78,6941,1806,64,539,0,0,78,6941
1,514,120,7327,2787,80,380,3,9,123,7330
1,515,83,7346,2867,104,800,16,19,99,7362
1,516,22,2473,702,60,203,0,0,22,2473
1,520,192,12516,7078,123,1475,11,49,203,12527
1,521,30,5127,2076,53,408,1,1,31,5128
1,522,310,27673,17278,513,5489,20,86,330,27693
1,523,325,16399,8058,181,1293,5,16,330,16404
1,524,452,27532,14609,303,3353,9,63,461,27541
1,525,159,14052,4277,254,1870,4,10,163,14056
1,526,243,16661,3425,328,2081,2,8,245,16663
1,527,141,11796,5517,248,1671,15,46,156,11811
1,528,45,4667,1927,122,1697,0,9,45,4667
2,500,194,19815,9841,173,2743,20,42,214,19835
2,501,247,13478,4035,73,1091,13,19,260,13491
2,502,240,16364,6257,196,2182,16,27,256,16380
2,503,303,29267,10443,539,3794,13,34,316,29280
2,504,163,9226,4090,103,938,57,59,220,9283
2,505,406,15812,5675,333,1880,14,17,420,15826
2,506,201,13931,6482,204,1250,5,7,206,13936
2,507,107,7523,3470,139,1083,13,48,120,7536
2,508,49,3043,546,132,282,0,0,49,3043
2,510,325,7824,1751,66,577,11,14,336,7835
2,511,148,5047,1903,131,816,22,42,170,5069
2,512,280,6834,1302,48,215,13,16,293,6847
2,513,119,5529,1410,79,410,7,7,126,5536
2,514,211,5448,1527,42,267,3,6,214,5451
2,515,102,6930,2514,79,721,20,20,122,6950
2,516,20,2057,461,47,186,0,1,20,2057
2,520,232,9592,4429,111,1186,18,56,250,9610
2,521,22,4415,1659,52,350,4,5,26,4419
2,522,351,24269,13113,518,4689,68,183,419,24337
2,523,341,13582,5364,138,1162,3,10,344,13585
2,524,556,21782,9016,281,2398,24,56,580,21806
2,525,151,9622,2355,163,1184,36,94,187,9658
2,526,195,12809,2617,225,1603,17,38,212,12826
2,527,84,6832,3031,118,858,13,45,97,6845
2,528,39,3370,1227,74,1135,26,57,65,3396
3,500,445,22909,13818,217,3141,26,74,471,22935
3,501,513,17533,7697,108,1281,17,23,530,17550
3,502,465,22932,11896,217,2783,13,27,478,22945
3,503,865,41663,18470,942,5401,47,77,912,41710
3,504,248,10732,6412,128,1089,27,28,275,10759
3,505,401,15801,5844,380,1827,16,20,417,15817
3,506,375,13506,6172,159,1165,5,10,380,13511
3,507,294,11607,6647,211,1667,15,47,309,11622
3,508,107,3595,1087,134,297,3,3,110,3598
3,510,569,9732,2983,63,566,7,9,576,9739
3,511,304,7442,4041,200,1167,6,10,310,7448
3,512,345,9001,2773,74,314,14,14,359,9015
3,513,240,5668,1913,52,400,5,5,245,5673
3,514,379,7065,2837,72,395,13,20,392,7078
3,515,365,8472,3368,85,823,13,21,378,8485
3,516,97,2481,648,52,188,3,3,100,2484
3,520,642,10409,5853,133,1189,18,48,660,10427
3,521,104,5397,3346,52,390,7,7,111,5404
3,522,1035,24732,17125,455,4811,101,228,1136,24833
3,523,753,14014,7542,193,1319,7,9,760,14021
3,524,1109,23063,11322,390,2536,32,62,1141,23095
3,525,375,12841,3777,219,1444,125,292,500,12966
3,526,492,13797,3077,224,1717,20,41,512,13817
3,527,467,10739,5616,194,1196,11,24,478,10750
3,528,125,3309,1422,76,1001,17,49,142,3326
4,500,131,22634,14220,221,3468,48,119,179,22682
4,501,184,17678,7987,169,1443,30,43,214,17708
4,502,210,19075,11030,201,2672,15,23,225,19090
4,503,353,42833,20213,905,5827,11,61,364,42844
4,504,94,11240,6676,99,1152,10,13,104,11250
4,505,166,14647,6544,351,1812,22,27,188,14669
4,506,260,14160,8859,186,1428,8,17,268,14168
4,507,161,12116,7546,312,1932,13,72,174,12129
4,508,46,3633,1029,109,276,1,1,47,3634
4,510,220,10249,3783,79,752,8,9,228,10257
4,511,105,5295,2709,170,963,7,27,112,5302
4,512,94,8027,2861,73,315,17,19,111,8044
4,513,94,6342,2077,82,478,13,15,107,6355
4,514,142,8062,3619,75,476,3,6,145,8065
4,515,98,10091,4766,105,976,9,18,107,10100
4,516,24,2568,817,77,254,5,8,29,2573
4,520,438,12694,7766,194,1394,15,37,453,12709
4,521,37,4312,2291,42,366,2,2,39,4314
4,522,428,26572,18214,513,5170,89,224,517,26661
4,523,338,15416,8211,297,1653,7,13,345,15423
4,524,768,26458,13323,387,2958,101,190,869,26559
4,525,359,13593,5283,213,1661,26,239,385,13619
4,526,112,13318,3899,242,1761,22,38,134,13340
4,527,151,8770,5552,195,1102,13,38,164,8783
4,528,32,3653,1689,129,1334,12,36,44,3665
5,500,800,25295,17344,247,3852,152,428,952,25447
5,501,636,16247,8592,148,1528,161,629,797,16408
5,502,701,20008,13995,215,2947,61,191,762,20069
5,503,1293,44796,29043,860,6257,185,1104,1478,44981
5,504,339,11288,7334,132,1316,34,251,373,11322
5,505,576,17990,7879,318,2366,64,214,640,18054
5,506,317,14171,9681,190,1410,41,93,358,14212
5,507,316,9658,8417,274,1866,80,377,396,9738
5,508,73,2845,931,83,289,3,19,76,2848
5,510,510,9039,4108,67,634,80,189,590,9119
5,511,353,6137,4111,125,999,66,200,419,6203
5,512,292,6876,3092,192,411,39,122,331,6915
5,513,126,6254,2406,84,503,23,41,149,6277
5,514,238,6864,3750,88,456,33,113,271,6897
5,515,454,11194,5673,91,1098,63,159,517,11257
5,516,45,1979,704,70,234,18,45,63,1997
5,520,458,9155,7334,126,1023,65,350,523,9220
5,521,130,5864,3931,51,564,30,67,160,5894
5,522,989,22705,22489,468,4249,133,372,1122,22838
5,523,720,15671,10191,267,1679,114,279,834,15785
5,524,998,19823,11922,284,2561,144,966,1142,19967
5,525,104,8310,2673,146,1204,44,127,148,8354
5,526,499,10182,4550,224,1483,111,373,610,10293
5,527,420,9212,6655,191,1149,56,214,476,9268
5,528,147,3961,2330,168,1487,80,248,227,4041
6,500,246,17014,10478,184,2550,109,374,355,17123
6,501,333,14197,7057,163,1427,139,341,472,14336
6,502,335,17742,12003,189,2568,54,114,389,17796
6,503,448,23961,12369,412,3378,21,37,469,23982
6,504,328,11677,6919,118,1222,25,29,353,11702
6,505,491,14480,6475,223,1691,35,51,526,14515
6,506,223,10872,5255,130,922,22,25,245,10894
6,507,109,7365,4829,146,1005,50,187,159,7415
6,508,83,2564,842,47,196,4,4,87,2568
6,510,374,9653,3970,86,720,49,159,423,9702
6,511,177,5979,3517,187,1070,6,18,183,5985
6,512,286,7526,2987,48,302,27,32,313,7553
6,513,138,6007,2303,90,450,0,1,138,6007
6,514,243,6420,3008,63,437,3,10,246,6423
6,515,241,7630,3766,101,700,36,72,277,7666
6,516,22,1453,434,43,166,1,1,23,1454
6,520,365,11402,7796,184,1257,74,247,439,11476
6,521,117,5350,3655,59,470,8,9,125,5358
6,522,389,11527,7029,216,1848,71,135,460,11598
6,523,473,10322,5371,181,969,19,22,492,10341
6,524,408,15652,8197,289,1963,124,790,532,15776
6,525,273,10484,3419,193,1223,55,241,328,10539
6,526,240,9970,4020,196,1256,24,50,264,9994
6,527,174,6780,4140,149,850,24,27,198,6804
6,528,51,2426,974,87,784,85,286,136,2511
