stdy_yr_idx,zip3,total_labpos,total_labtest
1,500,15,38
1,501,2,5
1,502,10,24
1,503,32,80
1,504,7,8
1,505,8,10
1,506,7,29
1,507,3,19
1,511,12,21
1,512,5,7
1,514,3,9
1,515,16,19
1,520,11,49
1,521,1,1
1,522,20,86
1,523,5,16
1,524,9,63
1,525,4,10
1,526,2,8
1,527,15,46
1,528,0,9
1,612,0,1
2,500,20,42
2,501,13,19
2,502,16,27
2,503,13,34
2,504,57,59
2,505,14,17
2,506,5,7
2,507,13,48
2,510,11,14
2,511,22,42
2,512,13,16
2,513,7,7
2,514,3,6
2,515,20,20
2,516,0,1
2,520,18,56
2,521,4,5
2,522,68,183
2,523,3,10
2,524,24,56
2,525,36,94
2,526,17,38
2,527,13,45
2,528,26,57
2,570,1,1
2,612,2,7
3,500,26,74
3,501,17,23
3,502,13,27
3,503,47,77
3,504,27,28
3,505,16,20
3,506,5,10
3,507,15,47
3,508,3,3
3,510,7,9
3,511,6,10
3,512,14,14
3,513,5,5
3,514,13,20
3,515,13,21
3,516,3,3
3,520,18,48
3,521,7,7
3,522,101,228
3,523,7,9
3,524,32,62
3,525,125,292
3,526,20,41
3,527,11,24
3,528,17,49
3,612,0,1
4,500,48,119
4,501,30,43
4,502,15,23
4,503,11,61
4,504,10,13
4,505,22,27
4,506,8,17
4,507,13,72
4,508,1,1
4,510,8,9
4,511,7,27
4,512,17,19
4,513,13,15
4,514,3,6
4,515,9,18
4,516,5,8
4,520,15,37
4,521,2,2
4,522,89,224
4,523,7,13
4,524,101,190
4,525,26,239
4,526,22,38
4,527,13,38
4,528,12,36
4,570,1,2
4,612,1,10
5,500,152,428
5,501,161,629
5,502,61,191
5,503,185,1104
5,504,34,251
5,505,64,214
5,506,41,93
5,507,80,377
5,508,3,19
5,510,80,189
5,511,66,200
5,512,39,122
5,513,23,41
5,514,33,113
5,515,63,159
5,516,18,45
5,520,65,350
5,521,30,67
5,522,133,372
5,523,114,279
5,524,144,966
5,525,44,127
5,526,111,373
5,527,56,214
5,528,80,248
5,570,17,87
5,612,51,187
5,681,0,2
5,687,0,2
6,500,109,374
6,501,139,341
6,502,54,114
6,503,21,37
6,504,25,29
6,505,35,51
6,506,22,25
6,507,50,187
6,508,4,4
6,510,49,159
6,511,6,18
6,512,27,32
6,513,0,1
6,514,3,10
6,515,36,72
6,516,1,1
6,520,74,247
6,521,8,9
6,522,71,135
6,523,19,22
6,524,124,790
6,525,55,241
6,526,24,50
6,527,24,27
6,528,85,286
6,570,3,5
6,571,1,1
6,612,0,1
6,681,1,1
7,500,42,172
7,501,74,222
7,502,41,65
7,503,118,132
7,504,20,132
7,505,46,93
7,506,16,40
7,507,73,129
7,508,7,7
7,510,73,172
7,511,12,13
7,512,46,50
7,513,20,27
7,514,15,22
7,515,61,73
7,516,11,14
7,520,114,135
7,521,14,14
7,522,81,174
7,523,14,53
7,524,105,361
7,525,40,95
7,526,49,83
7,527,49,65
7,528,68,132
7,570,42,44
7,612,95,118
8,500,101,308
8,501,181,436
8,502,88,177
8,503,326,594
8,504,58,142
8,505,82,110
8,506,50,77
8,507,68,152
8,508,8,8
8,510,125,223
8,511,11,11
8,512,26,33
8,513,19,21
8,514,21,24
8,515,41,55
8,516,3,4
8,520,60,82
8,521,19,23
8,522,139,241
8,523,27,33
8,524,254,1130
8,525,89,212
8,526,32,45
8,527,81,145
8,528,80,116
8,570,21,22
8,612,6,8
9,500,45,100
9,501,41,261
9,502,39,72
9,503,178,290
9,504,9,23
9,505,11,22
9,506,31,58
9,507,26,51
9,508,4,4
9,510,13,21
9,511,1,1
9,512,7,9
9,513,8,14
9,514,6,9
9,515,28,30
9,516,1,1
9,520,9,19
9,521,7,12
9,522,42,123
9,523,7,9
9,524,76,175
9,525,23,70
9,526,25,37
9,527,5,8
9,528,10,18
9,570,28,36
9,612,1,1
10,500,82,164
10,501,40,71
10,502,76,136
10,503,33,76
10,504,12,29
10,505,29,46
10,506,32,73
10,507,29,38
10,508,4,7
10,510,7,15
10,511,5,5
10,512,18,22
10,513,7,9
10,514,10,10
10,515,26,35
10,516,13,15
10,520,23,59
10,521,9,11
10,522,24,34
10,523,12,21
10,524,229,307
10,525,100,308
10,526,24,28
10,527,6,10
10,528,1,5
10,570,39,60
11,500,35,45
11,501,32,52
11,502,19,39
11,503,9,14
11,504,7,14
11,505,18,22
11,506,51,71
11,507,21,34
11,508,3,4
11,510,10,11
11,511,2,2
11,512,8,9
11,513,4,9
11,514,2,3
11,515,25,29
11,520,9,28
11,521,3,3
11,522,7,13
11,523,7,7
11,524,59,96
11,525,22,136
11,526,18,39
11,527,5,20
11,570,9,14
12,500,151,211
12,501,41,91
12,502,26,55
12,503,17,23
12,504,21,67
12,505,57,101
12,506,72,137
12,507,64,85
12,508,21,33
12,510,12,12
12,511,4,4
12,512,19,24
12,513,19,44
12,514,6,8
12,515,73,81
12,516,10,11
12,520,36,81
12,521,18,28
12,522,45,68
12,523,31,40
12,524,162,205
12,525,46,232
12,526,52,77
12,527,11,16
12,570,38,41
13,500,88,111
13,501,43,63
13,502,35,61
13,503,12,15
13,504,17,24
13,505,24,45
13,506,61,80
13,507,67,75
13,508,8,9
13,510,14,18
13,511,10,10
13,512,6,12
13,513,13,19
13,514,10,11
13,515,54,54
13,516,10,10
13,520,23,38
13,521,10,11
13,522,33,52
13,523,22,26
13,524,87,110
13,525,50,172
13,526,52,60
13,527,15,21
13,528,57,65
13,570,30,34
